executable,calls,sessions,session_share
python3,384,22,1.0
cat,150,22,1.0
ls,127,22,1.0
echo,196,21,0.9545
sed,96,21,0.9545
pwd,36,21,0.9545
head,133,20,0.9091
find,59,20,0.9091
sort,42,18,0.8182
tail,58,14,0.6364
true,87,13,0.5909
cd,198,12,0.5455
wc,23,12,0.5455
pip,21,12,0.5455
grep,70,10,0.4545
git,31,10,0.4545
rm,58,9,0.4091
which,26,8,0.3636
python,47,6,0.2727
mkdir,30,6,0.2727
chmod,7,6,0.2727
file,6,6,0.2727
google-chrome,41,5,0.2273
apt-get,17,4,0.1818
timeout,15,4,0.1818
node,48,3,0.1364
sleep,34,3,0.1364
kill,15,3,0.1364
tesseract,14,3,0.1364
chafa,11,3,0.1364
printf,8,3,0.1364
sha256sum,8,3,0.1364
apt-cache,7,3,0.1364
xxd,4,3,0.1364
id,3,3,0.1364
pkill,29,2,0.0909
export,14,2,0.0909
dpkg-deb,10,2,0.0909
touch,9,2,0.0909
pdfinfo,7,2,0.0909
du,6,2,0.0909
make,6,2,0.0909
fc-list,4,2,0.0909
tee,4,2,0.0909
set,3,2,0.0909
cp,2,2,0.0909
df,2,2,0.0909
dpkg,2,2,0.0909
ldconfig,2,2,0.0909
mount,2,2,0.0909
pandoc,2,2,0.0909
xelatex,2,2,0.0909
cmake,21,1,0.0455
convert,10,1,0.0455
tar,9,1,0.0455
ctest,8,1,0.0455
textforge,8,1,0.0455
pdftotext,6,1,0.0455
findmnt,5,1,0.0455
ldd,5,1,0.0455
gs,4,1,0.0455
install.sh,4,1,0.0455
cpack,3,1,0.0455
exit,3,1,0.0455
ps,3,1,0.0455
run.sh,3,1,0.0455
consumer,2,1,0.0455
pdfimages,2,1,0.0455
diff,1,1,0.0455
g++,1,1,0.0455
identify,1,1,0.0455
img2txt,1,1,0.0455
jp2,1,1,0.0455
libreoffice,1,1,0.0455
od,1,1,0.0455
pdflatex,1,1,0.0455
pngcheck,1,1,0.0455
pypandoc,1,1,0.0455
readlink,1,1,0.0455
sh,1,1,0.0455
ss,1,1,0.0455
stat,1,1,0.0455
uname,1,1,0.0455
uniq,1,1,0.0455
unzip,1,1,0.0455
viu,1,1,0.0455
weasyprint,1,1,0.0455
wkhtmltopdf,1,1,0.0455
zip,1,1,0.0455
