session_id,source_file,package_manager,count
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,apt,1
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,pip,9
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,pip,2
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,pip,1
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,apt,2
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,pip,2
session-case-05,logs\cases\step0\session-case-05.jsonl,pip,2
session-case-07,logs\cases\step0\session-case-07.jsonl,pip,2
session-case-11,logs\cases\step0\session-case-11.jsonl,pip,3
双叉臂测试-step0,logs\双叉臂测试-step0.jsonl,pip,3
双叉臂测试,logs\双叉臂测试.jsonl,apt,3
双叉臂测试,logs\双叉臂测试.jsonl,pip,2
