session_id,source_file,tool,count
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,bash,23
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,bash,110
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,bash,19
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,bash,24
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,bash,30
session-vibe-06,logs\cases\step0-vibe\session-vibe-06.jsonl,bash,47
session-vibe-06,logs\cases\step0-vibe\session-vibe-06.jsonl,str_replace_editor,2
session-vibe-07,logs\cases\step0-vibe\session-vibe-07.jsonl,bash,20
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,bash,55
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,str_replace_editor,4
session-case-01,logs\cases\step0\session-case-01.jsonl,bash,5
session-case-02,logs\cases\step0\session-case-02.jsonl,bash,5
session-case-03,logs\cases\step0\session-case-03.jsonl,bash,5
session-case-04,logs\cases\step0\session-case-04.jsonl,bash,7
session-case-05,logs\cases\step0\session-case-05.jsonl,bash,17
session-case-06,logs\cases\step0\session-case-06.jsonl,bash,4
session-case-07,logs\cases\step0\session-case-07.jsonl,bash,18
session-case-08,logs\cases\step0\session-case-08.jsonl,bash,7
session-case-09,logs\cases\step0\session-case-09.jsonl,bash,11
session-case-10,logs\cases\step0\session-case-10.jsonl,bash,7
session-case-11,logs\cases\step0\session-case-11.jsonl,bash,51
session-case-12,logs\cases\step0\session-case-12.jsonl,bash,11
双叉臂测试-step0,logs\双叉臂测试-step0.jsonl,bash,105
双叉臂测试-step0,logs\双叉臂测试-step0.jsonl,vision_toolkit_activate,1
双叉臂测试,logs\双叉臂测试.jsonl,bash,69
双叉臂测试,logs\双叉臂测试.jsonl,vision_toolkit_activate,1
