session_id,source_file,message_count,tool_call_count,bash_call_count,editor_call_count,unique_tools,unique_executables,first_action_seq,missing_command_errors,missing_module_errors,install_attempts,import_count,capability_probe_count,user_messages,assistant_messages,tool_messages,cwd,ds_session_id,agent_preset_initial,agent_preset_selected,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,48,23,23,0,bash,"cat,cd,chmod,echo,find,grep,head,ls,pwd,python3,rm,sed,sort,tail,true",3,0,2,0,26,0,1,24,23,/home/andyk/projects/测试用例/bash_vibe_repos/p1-finance-dashboard,session-faed9f78-a0b2-4f69-8783-1b84e947a748,minimal,,,,,,
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,221,110,110,0,bash,"apt-cache,apt-get,cat,cd,convert,du,echo,fc-list,find,google-chrome,grep,gs,head,identify,ls,pandoc,pdfinfo,pip,pwd,python,python3,rm,sed,sort,tail,tesseract,true,wc,which,xelatex",3,1,4,10,152,17,1,111,109,/home/andyk/projects/测试用例/bash_vibe_repos/p2-document-engineering,session-fdadf5aa-b451-4d09-ab50-1fb4beea0eba,minimal,,,,,,
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,36,19,19,0,bash,"cat,cd,diff,echo,file,find,git,ls,pip,pwd,python,python3,sed,sort,tail,true",3,1,2,2,4,0,1,17,18,/home/andyk/projects/测试用例/bash_vibe_repos/p3-repair-repository,session-4d3a21d8-55a9-4d07-b937-aa43f6abf998,minimal,,,,,,
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,50,24,24,0,bash,"cat,cd,echo,exit,find,git,head,ls,mkdir,pip,pwd,python3,rm,sed,set,sort,tail,tee,true,wc",3,0,3,0,68,0,1,25,24,/home/andyk/projects/测试用例/bash_vibe_repos/p4-local-task-manager,session-8db7e948-4ae8-4929-a06d-62be2fdf1423,minimal,,,,,,
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,60,30,30,0,bash,"cat,cd,dpkg,echo,find,google-chrome,grep,head,kill,ls,mkdir,node,pip,pkill,pwd,python3,rm,sed,sleep,tail,timeout,true,wc,which",3,0,1,1,9,9,1,29,30,/home/andyk/projects/测试用例/bash_vibe_repos/p5-interactive-physics,session-4fdd5b9b-4f31-4389-81df-7ad943fc60c5,minimal,,,,,,
session-vibe-06,logs\cases\step0-vibe\session-vibe-06.jsonl,99,49,47,2,"bash,str_replace_editor","cat,cd,chafa,chmod,echo,file,find,head,ls,mkdir,pip,pngcheck,printf,pwd,python3,run.sh,sort,tesseract,true,which,xxd",3,1,2,0,53,5,1,49,49,/home/andyk/projects/测试用例/bash_vibe_repos/p6-ocr-table-pipeline,session-d7cb1986-2a76-4661-b97c-897587d2d59a,minimal,,,,,,
session-vibe-07,logs\cases\step0-vibe\session-vibe-07.jsonl,37,20,20,0,bash,"cat,cd,chmod,echo,find,google-chrome,grep,head,ls,pip,printf,pwd,python3,rm,sed,sort,tail,wc,which,xxd",3,0,0,0,23,5,1,17,19,/home/andyk/projects/测试用例/bash_vibe_repos/p7-local-site-crawl,session-4474f7ba-34ec-4ff5-9701-8110116c2f4e,minimal,,,,,,
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,120,59,55,4,"bash,str_replace_editor","apt-cache,apt-get,cat,cd,chmod,cmake,consumer,cp,cpack,ctest,df,dpkg,dpkg-deb,echo,export,find,findmnt,g++,grep,head,id,install.sh,ldconfig,ls,make,mkdir,mount,pip,pwd,python3,readlink,rm,sed,sh,sha256sum,sort,tail,tar,textforge,timeout,touch,true,uname,unzip,wc,which,zip",3,5,0,4,9,3,1,60,59,/home/andyk/projects/测试用例/bash_vibe_repos/p8-cpp-release,session-8dbe18ec-25d4-44e1-bed2-58f72a3db03c,minimal,,,,,,
session-case-01,logs\cases\step0\session-case-01.jsonl,12,5,5,0,bash,"cat,cd,echo,find,head,ls,pwd,python3,sed,sort",3,0,0,0,2,0,1,6,5,/home/andyk/projects/测试用例/case-01-json-aggregation,session-b17c58a1-b338-46ae-90e7-227290691915,minimal,,,,,,
session-case-02,logs\cases\step0\session-case-02.jsonl,11,5,5,0,bash,"cat,echo,find,git,ls,pwd,python3,sed,sort",3,0,0,0,2,0,1,6,4,/home/andyk/projects/测试用例/case-02-source-search,session-c338133a-6988-4f74-adc0-a7e9d1a5725e,minimal,,,,,,
