session_id,source_file,missing_module,count
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,matplotlib,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,pandas,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,fontTools,2
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,rlPyCairo,1
session-vibe-03,logs/cases/step0-vibe/session-vibe-03.jsonl,pytest,2
session-vibe-04,logs/cases/step0-vibe/session-vibe-04.jsonl,fastapi,1
session-vibe-04,logs/cases/step0-vibe/session-vibe-04.jsonl,flask,1
session-vibe-04,logs/cases/step0-vibe/session-vibe-04.jsonl,uvicorn,1
session-vibe-05,logs/cases/step0-vibe/session-vibe-05.jsonl,playwright,1
session-vibe-06,logs/cases/step0-vibe/session-vibe-06.jsonl,cv2,1
session-vibe-06,logs/cases/step0-vibe/session-vibe-06.jsonl,pytesseract,1
