session_id,source_file,module,count
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,PIL,3
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,__future__,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,collections,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,csv,7
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,datetime,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,glob,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,html,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,math,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,matplotlib,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,pandas,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,pathlib,4
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,statistics,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,struct,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,sys,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,zlib,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,PIL,25
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,__future__,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,because,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,dataclasses,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,fitz,11
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,fontTools,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,fontTools.ttLib,4
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,html,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,importlib.util,4
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,inspect,3
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,json,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,numpy,19
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,os,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pathlib,16
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,re,6
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab,5
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab.graphics,4
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab.lib,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab.lib.enums,2
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,reportlab.lib.pagesizes,7
