session_id,source_file,tool,count
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,bash,23
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,bash,110
session-vibe-03,logs/cases/step0-vibe/session-vibe-03.jsonl,bash,19
session-vibe-04,logs/cases/step0-vibe/session-vibe-04.jsonl,bash,24
session-vibe-05,logs/cases/step0-vibe/session-vibe-05.jsonl,bash,30
session-vibe-06,logs/cases/step0-vibe/session-vibe-06.jsonl,bash,47
session-vibe-06,logs/cases/step0-vibe/session-vibe-06.jsonl,str_replace_editor,2
session-vibe-07,logs/cases/step0-vibe/session-vibe-07.jsonl,bash,20
session-vibe-08,logs/cases/step0-vibe/session-vibe-08.jsonl,bash,55
session-vibe-08,logs/cases/step0-vibe/session-vibe-08.jsonl,str_replace_editor,4
