session_id,source_file,executable,count
session-case-01,logs/cases/step0/session-case-01.jsonl,cat,3
session-case-01,logs/cases/step0/session-case-01.jsonl,cd,2
session-case-01,logs/cases/step0/session-case-01.jsonl,echo,2
session-case-01,logs/cases/step0/session-case-01.jsonl,find,3
session-case-01,logs/cases/step0/session-case-01.jsonl,head,2
session-case-01,logs/cases/step0/session-case-01.jsonl,ls,3
session-case-01,logs/cases/step0/session-case-01.jsonl,pwd,2
session-case-01,logs/cases/step0/session-case-01.jsonl,python3,2
session-case-01,logs/cases/step0/session-case-01.jsonl,sed,2
session-case-01,logs/cases/step0/session-case-01.jsonl,sort,2
session-case-02,logs/cases/step0/session-case-02.jsonl,cat,2
session-case-02,logs/cases/step0/session-case-02.jsonl,echo,2
session-case-02,logs/cases/step0/session-case-02.jsonl,find,1
session-case-02,logs/cases/step0/session-case-02.jsonl,git,1
session-case-02,logs/cases/step0/session-case-02.jsonl,ls,1
session-case-02,logs/cases/step0/session-case-02.jsonl,pwd,1
session-case-02,logs/cases/step0/session-case-02.jsonl,python3,2
session-case-02,logs/cases/step0/session-case-02.jsonl,sed,2
session-case-02,logs/cases/step0/session-case-02.jsonl,sort,1
session-case-03,logs/cases/step0/session-case-03.jsonl,cat,3
session-case-03,logs/cases/step0/session-case-03.jsonl,echo,2
session-case-03,logs/cases/step0/session-case-03.jsonl,find,3
session-case-03,logs/cases/step0/session-case-03.jsonl,git,1
session-case-03,logs/cases/step0/session-case-03.jsonl,head,1
session-case-03,logs/cases/step0/session-case-03.jsonl,ls,1
session-case-03,logs/cases/step0/session-case-03.jsonl,python3,3
session-case-03,logs/cases/step0/session-case-03.jsonl,sed,1
session-case-03,logs/cases/step0/session-case-03.jsonl,sort,1
session-case-03,logs/cases/step0/session-case-03.jsonl,wc,3
session-case-04,logs/cases/step0/session-case-04.jsonl,cat,5
session-case-04,logs/cases/step0/session-case-04.jsonl,echo,6
session-case-04,logs/cases/step0/session-case-04.jsonl,file,1
session-case-04,logs/cases/step0/session-case-04.jsonl,find,1
session-case-04,logs/cases/step0/session-case-04.jsonl,head,3
session-case-04,logs/cases/step0/session-case-04.jsonl,ls,3
session-case-04,logs/cases/step0/session-case-04.jsonl,pwd,1
session-case-04,logs/cases/step0/session-case-04.jsonl,python3,2
session-case-04,logs/cases/step0/session-case-04.jsonl,sed,1
session-case-04,logs/cases/step0/session-case-04.jsonl,sha256sum,2
session-case-04,logs/cases/step0/session-case-04.jsonl,sort,1
session-case-04,logs/cases/step0/session-case-04.jsonl,wc,1
session-case-04,logs/cases/step0/session-case-04.jsonl,xxd,1
session-case-05,logs/cases/step0/session-case-05.jsonl,cat,5
session-case-05,logs/cases/step0/session-case-05.jsonl,echo,3
session-case-05,logs/cases/step0/session-case-05.jsonl,find,1
session-case-05,logs/cases/step0/session-case-05.jsonl,git,3
session-case-05,logs/cases/step0/session-case-05.jsonl,head,2
session-case-05,logs/cases/step0/session-case-05.jsonl,ls,1
session-case-05,logs/cases/step0/session-case-05.jsonl,pip,1
session-case-05,logs/cases/step0/session-case-05.jsonl,pwd,1
session-case-05,logs/cases/step0/session-case-05.jsonl,python,4
session-case-05,logs/cases/step0/session-case-05.jsonl,python3,12
session-case-05,logs/cases/step0/session-case-05.jsonl,sed,1
session-case-05,logs/cases/step0/session-case-05.jsonl,tail,3
session-case-06,logs/cases/step0/session-case-06.jsonl,cat,5
session-case-06,logs/cases/step0/session-case-06.jsonl,find,1
session-case-06,logs/cases/step0/session-case-06.jsonl,head,1
session-case-06,logs/cases/step0/session-case-06.jsonl,ls,1
session-case-06,logs/cases/step0/session-case-06.jsonl,printf,3
session-case-06,logs/cases/step0/session-case-06.jsonl,pwd,1
session-case-06,logs/cases/step0/session-case-06.jsonl,python3,2
session-case-06,logs/cases/step0/session-case-06.jsonl,sed,1
session-case-06,logs/cases/step0/session-case-06.jsonl,sort,1
session-case-07,logs/cases/step0/session-case-07.jsonl,cat,5
session-case-07,logs/cases/step0/session-case-07.jsonl,chafa,3
session-case-07,logs/cases/step0/session-case-07.jsonl,echo,6
session-case-07,logs/cases/step0/session-case-07.jsonl,fc-list,2
session-case-07,logs/cases/step0/session-case-07.jsonl,file,1
session-case-07,logs/cases/step0/session-case-07.jsonl,find,1
session-case-07,logs/cases/step0/session-case-07.jsonl,git,3
session-case-07,logs/cases/step0/session-case-07.jsonl,grep,1
session-case-07,logs/cases/step0/session-case-07.jsonl,head,6
session-case-07,logs/cases/step0/session-case-07.jsonl,img2txt,1
session-case-07,logs/cases/step0/session-case-07.jsonl,jp2,1
session-case-07,logs/cases/step0/session-case-07.jsonl,ls,3
session-case-07,logs/cases/step0/session-case-07.jsonl,pip,1
session-case-07,logs/cases/step0/session-case-07.jsonl,pwd,1
session-case-07,logs/cases/step0/session-case-07.jsonl,python,1
session-case-07,logs/cases/step0/session-case-07.jsonl,python3,15
session-case-07,logs/cases/step0/session-case-07.jsonl,sed,5
session-case-07,logs/cases/step0/session-case-07.jsonl,sort,1
session-case-07,logs/cases/step0/session-case-07.jsonl,tail,2
session-case-07,logs/cases/step0/session-case-07.jsonl,true,3
session-case-07,logs/cases/step0/session-case-07.jsonl,viu,1
session-case-07,logs/cases/step0/session-case-07.jsonl,wc,1
session-case-08,logs/cases/step0/session-case-08.jsonl,cat,5
session-case-08,logs/cases/step0/session-case-08.jsonl,echo,5
session-case-08,logs/cases/step0/session-case-08.jsonl,file,1
session-case-08,logs/cases/step0/session-case-08.jsonl,find,1
session-case-08,logs/cases/step0/session-case-08.jsonl,git,2
session-case-08,logs/cases/step0/session-case-08.jsonl,head,1
session-case-08,logs/cases/step0/session-case-08.jsonl,ls,3
session-case-08,logs/cases/step0/session-case-08.jsonl,pwd,1
session-case-08,logs/cases/step0/session-case-08.jsonl,python3,4
session-case-08,logs/cases/step0/session-case-08.jsonl,sed,3
session-case-08,logs/cases/step0/session-case-08.jsonl,sort,1
session-case-09,logs/cases/step0/session-case-09.jsonl,cat,4
session-case-09,logs/cases/step0/session-case-09.jsonl,echo,2
session-case-09,logs/cases/step0/session-case-09.jsonl,find,1
session-case-09,logs/cases/step0/session-case-09.jsonl,git,2
session-case-09,logs/cases/step0/session-case-09.jsonl,head,2
session-case-09,logs/cases/step0/session-case-09.jsonl,ls,3
session-case-09,logs/cases/step0/session-case-09.jsonl,mkdir,1
session-case-09,logs/cases/step0/session-case-09.jsonl,pwd,1
session-case-09,logs/cases/step0/session-case-09.jsonl,python,1
session-case-09,logs/cases/step0/session-case-09.jsonl,python3,6
session-case-09,logs/cases/step0/session-case-09.jsonl,sed,3
session-case-09,logs/cases/step0/session-case-09.jsonl,sort,1
session-case-09,logs/cases/step0/session-case-09.jsonl,tail,3
session-case-09,logs/cases/step0/session-case-09.jsonl,tee,1
session-case-09,logs/cases/step0/session-case-09.jsonl,true,1
session-case-10,logs/cases/step0/session-case-10.jsonl,cat,6
session-case-10,logs/cases/step0/session-case-10.jsonl,echo,5
session-case-10,logs/cases/step0/session-case-10.jsonl,find,2
session-case-10,logs/cases/step0/session-case-10.jsonl,head,2
session-case-10,logs/cases/step0/session-case-10.jsonl,ls,1
session-case-10,logs/cases/step0/session-case-10.jsonl,make,2
session-case-10,logs/cases/step0/session-case-10.jsonl,pwd,1
session-case-10,logs/cases/step0/session-case-10.jsonl,python3,1
session-case-10,logs/cases/step0/session-case-10.jsonl,sed,3
session-case-10,logs/cases/step0/session-case-10.jsonl,sort,1
session-case-10,logs/cases/step0/session-case-10.jsonl,wc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,apt-cache,4
session-case-11,logs/cases/step0/session-case-11.jsonl,apt-get,7
session-case-11,logs/cases/step0/session-case-11.jsonl,cat,10
session-case-11,logs/cases/step0/session-case-11.jsonl,cd,31
session-case-11,logs/cases/step0/session-case-11.jsonl,chmod,1
session-case-11,logs/cases/step0/session-case-11.jsonl,cp,1
session-case-11,logs/cases/step0/session-case-11.jsonl,df,1
session-case-11,logs/cases/step0/session-case-11.jsonl,dpkg-deb,6
session-case-11,logs/cases/step0/session-case-11.jsonl,du,1
session-case-11,logs/cases/step0/session-case-11.jsonl,echo,8
session-case-11,logs/cases/step0/session-case-11.jsonl,export,3
session-case-11,logs/cases/step0/session-case-11.jsonl,file,1
session-case-11,logs/cases/step0/session-case-11.jsonl,find,3
session-case-11,logs/cases/step0/session-case-11.jsonl,git,7
session-case-11,logs/cases/step0/session-case-11.jsonl,grep,15
session-case-11,logs/cases/step0/session-case-11.jsonl,head,30
session-case-11,logs/cases/step0/session-case-11.jsonl,id,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ldconfig,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ldd,5
session-case-11,logs/cases/step0/session-case-11.jsonl,libreoffice,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ls,17
session-case-11,logs/cases/step0/session-case-11.jsonl,mkdir,6
session-case-11,logs/cases/step0/session-case-11.jsonl,mount,1
session-case-11,logs/cases/step0/session-case-11.jsonl,od,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pandoc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pdfimages,2
session-case-11,logs/cases/step0/session-case-11.jsonl,pdfinfo,6
session-case-11,logs/cases/step0/session-case-11.jsonl,pdflatex,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pdftotext,6
session-case-11,logs/cases/step0/session-case-11.jsonl,pip,2
session-case-11,logs/cases/step0/session-case-11.jsonl,pwd,4
session-case-11,logs/cases/step0/session-case-11.jsonl,pypandoc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,python,3
session-case-11,logs/cases/step0/session-case-11.jsonl,python3,20
session-case-11,logs/cases/step0/session-case-11.jsonl,rm,1
session-case-11,logs/cases/step0/session-case-11.jsonl,sed,7
session-case-11,logs/cases/step0/session-case-11.jsonl,set,2
session-case-11,logs/cases/step0/session-case-11.jsonl,sort,5
session-case-11,logs/cases/step0/session-case-11.jsonl,stat,1
session-case-11,logs/cases/step0/session-case-11.jsonl,tail,1
session-case-11,logs/cases/step0/session-case-11.jsonl,touch,1
session-case-11,logs/cases/step0/session-case-11.jsonl,true,17
session-case-11,logs/cases/step0/session-case-11.jsonl,uniq,1
session-case-11,logs/cases/step0/session-case-11.jsonl,wc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,weasyprint,1
session-case-11,logs/cases/step0/session-case-11.jsonl,which,1
session-case-11,logs/cases/step0/session-case-11.jsonl,wkhtmltopdf,1
session-case-11,logs/cases/step0/session-case-11.jsonl,xelatex,1
session-case-12,logs/cases/step0/session-case-12.jsonl,cat,9
session-case-12,logs/cases/step0/session-case-12.jsonl,chmod,1
session-case-12,logs/cases/step0/session-case-12.jsonl,echo,13
session-case-12,logs/cases/step0/session-case-12.jsonl,find,2
session-case-12,logs/cases/step0/session-case-12.jsonl,git,7
session-case-12,logs/cases/step0/session-case-12.jsonl,grep,8
session-case-12,logs/cases/step0/session-case-12.jsonl,head,2
session-case-12,logs/cases/step0/session-case-12.jsonl,ls,5
session-case-12,logs/cases/step0/session-case-12.jsonl,ps,3
session-case-12,logs/cases/step0/session-case-12.jsonl,pwd,1
session-case-12,logs/cases/step0/session-case-12.jsonl,python3,4
session-case-12,logs/cases/step0/session-case-12.jsonl,sed,2
session-case-12,logs/cases/step0/session-case-12.jsonl,sha256sum,3
session-case-12,logs/cases/step0/session-case-12.jsonl,sort,1
session-case-12,logs/cases/step0/session-case-12.jsonl,ss,1
session-case-12,logs/cases/step0/session-case-12.jsonl,tail,2
session-case-12,logs/cases/step0/session-case-12.jsonl,true,7
