session_id,source_file,executable,count
session-case-11,logs/cases/step0/session-case-11.jsonl,apt-cache,4
session-case-11,logs/cases/step0/session-case-11.jsonl,apt-get,7
session-case-11,logs/cases/step0/session-case-11.jsonl,cat,10
session-case-11,logs/cases/step0/session-case-11.jsonl,cd,31
session-case-11,logs/cases/step0/session-case-11.jsonl,chmod,1
session-case-11,logs/cases/step0/session-case-11.jsonl,cp,1
session-case-11,logs/cases/step0/session-case-11.jsonl,df,1
session-case-11,logs/cases/step0/session-case-11.jsonl,dpkg-deb,6
session-case-11,logs/cases/step0/session-case-11.jsonl,du,1
session-case-11,logs/cases/step0/session-case-11.jsonl,echo,8
session-case-11,logs/cases/step0/session-case-11.jsonl,export,3
session-case-11,logs/cases/step0/session-case-11.jsonl,file,1
session-case-11,logs/cases/step0/session-case-11.jsonl,find,3
session-case-11,logs/cases/step0/session-case-11.jsonl,git,7
session-case-11,logs/cases/step0/session-case-11.jsonl,grep,15
session-case-11,logs/cases/step0/session-case-11.jsonl,head,30
session-case-11,logs/cases/step0/session-case-11.jsonl,id,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ldconfig,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ldd,5
session-case-11,logs/cases/step0/session-case-11.jsonl,libreoffice,1
session-case-11,logs/cases/step0/session-case-11.jsonl,ls,17
session-case-11,logs/cases/step0/session-case-11.jsonl,mkdir,6
session-case-11,logs/cases/step0/session-case-11.jsonl,mount,1
session-case-11,logs/cases/step0/session-case-11.jsonl,od,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pandoc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pdfimages,2
session-case-11,logs/cases/step0/session-case-11.jsonl,pdfinfo,6
session-case-11,logs/cases/step0/session-case-11.jsonl,pdflatex,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pdftotext,6
session-case-11,logs/cases/step0/session-case-11.jsonl,pip,2
session-case-11,logs/cases/step0/session-case-11.jsonl,pwd,4
session-case-11,logs/cases/step0/session-case-11.jsonl,pypandoc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,python,3
session-case-11,logs/cases/step0/session-case-11.jsonl,python3,20
session-case-11,logs/cases/step0/session-case-11.jsonl,rm,1
session-case-11,logs/cases/step0/session-case-11.jsonl,sed,7
session-case-11,logs/cases/step0/session-case-11.jsonl,set,2
session-case-11,logs/cases/step0/session-case-11.jsonl,sort,5
session-case-11,logs/cases/step0/session-case-11.jsonl,stat,1
session-case-11,logs/cases/step0/session-case-11.jsonl,tail,1
session-case-11,logs/cases/step0/session-case-11.jsonl,touch,1
session-case-11,logs/cases/step0/session-case-11.jsonl,true,17
session-case-11,logs/cases/step0/session-case-11.jsonl,uniq,1
session-case-11,logs/cases/step0/session-case-11.jsonl,wc,1
session-case-11,logs/cases/step0/session-case-11.jsonl,weasyprint,1
session-case-11,logs/cases/step0/session-case-11.jsonl,which,1
session-case-11,logs/cases/step0/session-case-11.jsonl,wkhtmltopdf,1
session-case-11,logs/cases/step0/session-case-11.jsonl,xelatex,1
