bundle,priority,domain,kind,item,recommended,status,version,detail
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,python-is-python3,step0.1,installed,3.13.3-1+build1,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,python3-venv,step0.1,installed,3.14.3-0ubuntu2,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,python3-pytest,step0.1,installed,9.0.2-4,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,python3-websocket,step0.1,missing,,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,zip,step0.1,installed,3.0-15ubuntu3,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,unzip,step0.1,installed,6.0-29ubuntu1,默认 core
step0.1-core,P0,Python 入口、测试与轻量胶水,apt,pngcheck,step0.1,missing,,默认 core
step0.1-docs,P0,文档、PDF 与字体,apt,pandoc,step0.1,installed,3.7.0.2+ds-1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,poppler-utils,step0.1,installed,26.01.0-2ubuntu0.1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,poppler-data,step0.1,installed,0.4.12-1build1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,ghostscript,step0.1,installed,10.06.0~dfsg-3ubuntu1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,fontconfig,step0.1,installed,2.17.1-3ubuntu1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,fonts-noto-cjk,step0.1,installed,1:20240730+repack1-1build1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,python3-reportlab,step0.1,missing,,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,python3-pymupdf,step0.1,missing,,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,python3-svglib,step0.1,missing,,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,python3-fonttools,step0.1,installed,4.61.1-3build1,docs profile；单镜像时纳入
step0.1-docs,P0,文档、PDF 与字体,apt,weasyprint,step0.1,missing,,docs profile；单镜像时纳入
step0.1-build,P0,原生构建与发布,apt,build-essential,step0.1,installed,12.12ubuntu2.26.04.2,build profile；单镜像时纳入
step0.1-build,P0,原生构建与发布,apt,cmake,step0.1,installed,4.2.3-2ubuntu2,build profile；单镜像时纳入
step0.1-build,P0,原生构建与发布,apt,ninja-build,step0.1,installed,1.13.2-1,build profile；单镜像时纳入
step0.1-build,P0,原生构建与发布,apt,pkgconf,step0.1,installed,2.5.1-4,build profile；单镜像时纳入
step0.1-data,P1,科学计算、数据与绘图,apt,python3-scipy,step0.1,installed,1.16.3-4build1,data profile；按任务挂载
step0.1-data,P1,科学计算、数据与绘图,apt,python3-matplotlib,step0.1,installed,3.10.7+dfsg1-2build1,data profile；按任务挂载
step0.1-data,P1,科学计算、数据与绘图,apt,python3-pandas,step0.1,installed,2.3.3+dfsg-3ubuntu1,data profile；按任务挂载
