session_id,source_file,executable,count
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,cat,8
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,cd,16
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,chafa,5
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,echo,16
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,google-chrome,11
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,grep,6
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,head,14
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,kill,2
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,ls,6
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,node,18
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,pip,3
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,pkill,19
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,pwd,1
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,python3,85
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,rm,11
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,sed,1
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,sleep,11
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,tail,3
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,tesseract,2
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,timeout,5
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,true,13
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,wc,2
双叉臂测试-step0,logs/双叉臂测试-step0.jsonl,which,3
